2023-07-16 10:54:15.916  INFO - [   ThreadPool-8] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 80000
2023-07-16 10:54:16.054  INFO - [  ThreadPool-10] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 90000
2023-07-16 10:54:16.106  INFO - [   ThreadPool-9] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 100000
2023-07-16 10:54:16.265  INFO - [  ThreadPool-12] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 110000
2023-07-16 10:54:16.280  INFO - [  ThreadPool-11] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 120000
2023-07-16 10:54:16.414  INFO - [  ThreadPool-13] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 130000
2023-07-16 10:54:16.484  INFO - [  ThreadPool-14] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 140000
2023-07-16 10:54:16.502  INFO - [  ThreadPool-15] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 150000
2023-07-16 10:54:16.590  INFO - [  ThreadPool-16] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 160000
2023-07-16 10:54:16.714  INFO - [  ThreadPool-17] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 170000
2023-07-16 10:54:16.739  INFO - [  ThreadPool-18] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 180000
2023-07-16 10:54:16.776  INFO - [  ThreadPool-20] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 190000
2023-07-16 10:54:16.815  INFO - [  ThreadPool-19] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 200000
2023-07-16 10:54:16.941  INFO - [  ThreadPool-21] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 210000
2023-07-16 10:54:17.010  INFO - [  ThreadPool-22] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 220000
2023-07-16 10:54:17.130  INFO - [  ThreadPool-23] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 230000
2023-07-16 10:54:17.137  INFO - [  ThreadPool-25] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 240000
2023-07-16 10:54:17.216  INFO - [  ThreadPool-24] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 250000
2023-07-16 10:54:58.642  INFO - [   ThreadPool-2] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 260000
2023-07-16 10:54:58.939  INFO - [   ThreadPool-3] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 270000
2023-07-16 10:54:58.949  INFO - [   ThreadPool-1] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 280000
2023-07-16 10:54:59.076  INFO - [   ThreadPool-4] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 290000
2023-07-16 10:54:59.184  INFO - [   ThreadPool-5] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 300000
2023-07-16 10:54:59.214  INFO - [   ThreadPool-6] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 310000
2023-07-16 10:54:59.407  INFO - [   ThreadPool-7] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 320000
2023-07-16 10:54:59.575  INFO - [   ThreadPool-8] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 330000
2023-07-16 10:54:59.756  INFO - [  ThreadPool-10] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 340000
2023-07-16 10:54:59.785  INFO - [   ThreadPool-9] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 350000
2023-07-16 10:55:00.307  INFO - [  ThreadPool-11] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 360000
2023-07-16 10:55:00.386  INFO - [  ThreadPool-12] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 370000
2023-07-16 10:55:00.502  INFO - [  ThreadPool-13] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 380000
2023-07-16 10:55:00.667  INFO - [  ThreadPool-14] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 390000
2023-07-16 10:55:00.719  INFO - [  ThreadPool-15] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 400000
2023-07-16 10:55:00.922  INFO - [  ThreadPool-16] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 410000
2023-07-16 10:55:01.196  INFO - [  ThreadPool-20] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 420000
2023-07-16 10:55:01.207  INFO - [  ThreadPool-17] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 430000
2023-07-16 10:55:01.307  INFO - [  ThreadPool-18] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 440000
2023-07-16 10:55:01.365  INFO - [  ThreadPool-19] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 450000
2023-07-16 10:55:01.555  INFO - [  ThreadPool-21] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 460000
2023-07-16 10:55:01.742  INFO - [  ThreadPool-22] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 470000
2023-07-16 10:55:01.889  INFO - [  ThreadPool-23] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 480000
2023-07-16 10:55:01.894  INFO - [  ThreadPool-25] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 490000
2023-07-16 10:55:01.986  INFO - [  ThreadPool-24] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 500000
2023-07-16 10:56:01.433  INFO - [   ThreadPool-2] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 510000
2023-07-16 10:56:01.733  INFO - [   ThreadPool-3] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 520000
2023-07-16 10:56:01.773  INFO - [   ThreadPool-1] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 530000
2023-07-16 10:56:01.855  INFO - [   ThreadPool-4] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 540000
2023-07-16 10:56:01.933  INFO - [   ThreadPool-5] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 550000
2023-07-16 10:56:01.947  INFO - [   ThreadPool-6] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 560000
2023-07-16 10:56:02.120  INFO - [   ThreadPool-7] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 570000
2023-07-16 10:56:02.328  INFO - [   ThreadPool-8] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 580000
2023-07-16 10:56:02.444  INFO - [  ThreadPool-10] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 590000
2023-07-16 10:56:02.565  INFO - [   ThreadPool-9] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 600000
2023-07-16 10:56:02.926  INFO - [  ThreadPool-11] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 610000
2023-07-16 10:56:03.008  INFO - [  ThreadPool-12] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 620000
2023-07-16 10:56:03.157  INFO - [  ThreadPool-13] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 630000
2023-07-16 10:56:03.334  INFO - [  ThreadPool-14] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 640000
2023-07-16 10:56:03.435  INFO - [  ThreadPool-15] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 650000
2023-07-16 10:56:03.557  INFO - [  ThreadPool-16] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 660000
2023-07-16 10:56:03.789  INFO - [  ThreadPool-20] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 670000
2023-07-16 10:56:03.898  INFO - [  ThreadPool-17] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 680000
2023-07-16 10:56:03.963  INFO - [  ThreadPool-18] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 690000
2023-07-16 10:56:04.020  INFO - [  ThreadPool-19] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 700000
2023-07-16 10:56:04.223  INFO - [  ThreadPool-21] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 710000
2023-07-16 10:56:04.418  INFO - [  ThreadPool-22] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 720000
2023-07-16 10:56:04.529  INFO - [  ThreadPool-23] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 730000
2023-07-16 10:56:04.554  INFO - [  ThreadPool-25] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 740000
2023-07-16 10:56:04.627  INFO - [  ThreadPool-24] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 750000
2023-07-16 10:57:06.267  INFO - [   ThreadPool-2] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 760000
2023-07-16 10:57:06.605  INFO - [   ThreadPool-3] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 770000
2023-07-16 10:57:06.624  INFO - [   ThreadPool-1] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 780000
2023-07-16 10:57:06.715  INFO - [   ThreadPool-4] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 790000
2023-07-16 10:57:06.796  INFO - [   ThreadPool-6] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 800000
2023-07-16 10:57:06.843  INFO - [   ThreadPool-5] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 810000
2023-07-16 10:57:06.972  INFO - [   ThreadPool-7] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 820000
2023-07-16 10:57:07.236  INFO - [   ThreadPool-8] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 830000
2023-07-16 10:57:07.393  INFO - [  ThreadPool-10] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 840000
2023-07-16 10:57:07.507  INFO - [   ThreadPool-9] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 850000
2023-07-16 10:57:07.847  INFO - [  ThreadPool-11] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 860000
2023-07-16 10:57:07.955  INFO - [  ThreadPool-12] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 870000
2023-07-16 10:57:08.076  INFO - [  ThreadPool-13] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 880000
2023-07-16 10:57:08.302  INFO - [  ThreadPool-14] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 890000
2023-07-16 10:57:08.405  INFO - [  ThreadPool-15] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 900000
2023-07-16 10:57:08.517  INFO - [  ThreadPool-16] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 910000
2023-07-16 10:57:08.805  INFO - [  ThreadPool-20] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 920000
2023-07-16 10:57:08.909  INFO - [  ThreadPool-17] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 930000
2023-07-16 10:57:08.986  INFO - [  ThreadPool-18] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 940000
2023-07-16 10:57:09.013  INFO - [  ThreadPool-19] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 950000
2023-07-16 10:57:09.323  INFO - [  ThreadPool-21] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 960000
2023-07-16 10:57:09.563  INFO - [  ThreadPool-22] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 970000
2023-07-16 10:57:09.649  INFO - [  ThreadPool-23] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 980000
2023-07-16 10:57:09.686  INFO - [  ThreadPool-25] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 990000
2023-07-16 10:57:09.745  INFO - [  ThreadPool-24] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 1000000
2023-07-16 10:58:13.255  INFO - [   ThreadPool-2] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 1010000
2023-07-16 10:58:13.587  INFO - [   ThreadPool-3] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 1020000
2023-07-16 10:58:13.674  INFO - [   ThreadPool-1] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 1030000
2023-07-16 10:58:13.722  INFO - [   ThreadPool-4] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 1040000
2023-07-16 10:58:13.767  INFO - [   ThreadPool-6] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 1050000
2023-07-16 10:58:13.935  INFO - [   ThreadPool-5] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 1060000
2023-07-16 10:58:13.938  INFO - [   ThreadPool-7] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 1070000
2023-07-16 10:58:14.119  INFO - [   ThreadPool-8] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 1080000
2023-07-16 10:58:14.492  INFO - [  ThreadPool-10] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 1090000
2023-07-16 10:58:14.528  INFO - [   ThreadPool-9] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 1100000
2023-07-16 10:58:14.888  INFO - [  ThreadPool-11] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 1110000
2023-07-16 10:58:15.017  INFO - [  ThreadPool-12] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 1120000
2023-07-16 10:58:15.103  INFO - [  ThreadPool-13] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 1130000
2023-07-16 10:58:15.463  INFO - [  ThreadPool-14] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 1140000
2023-07-16 10:58:15.563  INFO - [  ThreadPool-15] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 1150000
2023-07-16 10:58:15.649  INFO - [  ThreadPool-16] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 1160000
2023-07-16 10:58:15.964  INFO - [  ThreadPool-20] t.l.m.s.RecentContactServiceImpl         : Save 10000 RecentContacts successfully. Counter 1180000
